station,name,date,tmax
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-01",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-02",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-03",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-04",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-05",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-06",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-07",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-08",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-09",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-10",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-11",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-12",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-13",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-14",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-15",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-16",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-17",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-18",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-19",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-20",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-21",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-22",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-23",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-24",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-25",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-26",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-27",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-28",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-29",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-30",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-01-31",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-01",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-02",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-03",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-04",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-05",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-06",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-07",83
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-08",83
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-09",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-10",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-11",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-12",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-02-13",63
