station,name,date,tmax
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-01,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-02,76
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-03,80
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-04,75
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-05,76
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-06,73
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-07,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-08,77
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-09,75
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-10,74
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-11,77
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-12,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-14,71
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-15,73
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-16,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-17,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-18,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-19,59
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-20,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-21,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-22,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-23,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-24,60
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-25,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-26,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-27,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-28,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-29,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-30,59
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-01-31,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-02-01,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-02-02,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-02-03,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-02-04,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-02-05,56
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010-02-06,59
